STATE,FD,FD_EXT,FD_FLX,VMS,VMS_EXT,VMS_FLX,LI,LI_EXT,LI_FLX
1,1.7146235944382235,-1.953987166682893,-1.8937860566769302,0.0035935376314928324,7.705656925290024e-09,5.3910201665851295e-08,684.0496758007147,74.93316705773695,103.38105526532559
1,1.8765349143392782,-2.4374102338179506,-2.631022887048551,0.01718887752640298,2.2822827096153155e-08,4.681394986054697e-08,1746.5727148631497,154.27008207847805,159.20313022215163
1,1.858950736548063,-2.675033926879668,-2.4197030052814306,0.010198631607942038,4.082311240309521e-08,3.568691420386986e-08,1919.7300511226715,197.7392562959172,183.80652823603137
1,1.6402817984757365,-1.9891190159109389,-2.2171098933804494,0.0037093073579797025,4.987345464643018e-08,3.6462792936249564e-09,559.0704283724909,62.15719311689443,73.51573058006518
1,1.7438065333334196,-2.2695724037305283,-2.4015057863887286,0.024151333416406285,3.403806684944008e-08,7.599448083230149e-09,1238.4950765313365,134.8423395780029,131.4813538381959
1,2.4615619299885685,-3.279031133583775,-2.253750927957718,6.405900491617168e-05,2.3481896815004002e-08,1.4125005655618072e-12,281.9135708541767,72.55934570437967,12.618193421633412
1,1.8652791112747193,-2.6518080083791373,-2.2991009671275027,0.005770078815150558,1.1374464197994258e-08,2.769621944440315e-07,1433.4072562212205,133.82795781460263,150.49363554407884
1,1.719052053752269,-2.6116760561738346,-2.239964677427829,0.007033190166563485,2.0941879163771916e-08,2.8915178395059517e-08,1802.2660440480536,161.2111651813188,155.51373672451967
1,1.7661041066088183,-2.445090866467689,-1.9925956462317558,0.0031376943316557293,7.339369356171958e-07,1.6002875632516888e-08,869.3240083614612,97.10210053722817,76.90166128080536
1,1.7930460480752521,-2.3041021550806837,-2.244756158779479,0.012683635253096504,1.223210748992859e-08,6.164408096581197e-08,1459.9469505121126,125.4409457580245,132.43997785747837
1,1.739876293422427,-2.2556796485634933,-2.1792528679071212,0.0076890612747575245,3.080184276080517e-08,1.228423127202357e-08,983.6519415213121,89.74809220940381,89.96071842886025
1,2.0620462308731446,-2.582699578336645,-2.52892750604748,0.004707553806222862,2.2890501936358348e-08,4.895573736329944e-08,1779.3207057539007,165.20721507652516,216.95203481621388
1,1.373331734922114,-2.1204697590080706,-2.2229590341851297,0.010283054651433941,1.946352934184883e-07,3.429365864953047e-10,329.6861628415352,57.91035082278868,41.77062827024037
1,1.6166954484929903,-1.9417687084367747,-2.2816280796430526,0.0076695375257159306,1.6995759735120706e-07,7.92333980776186e-10,710.7432643597172,81.41906287114641,71.85881401100754
1,1.525701548338496,-2.8961334747423066,-1.8763853404716553,0.00044112170287379155,6.550159982021073e-10,5.374885650280135e-08,371.485564532196,26.938810870450734,44.30795139555392
1,1.3896004758335048,-2.162149531766765,-2.1172729871177554,0.007922156328646726,8.584270928157429e-08,4.1644980635226556e-08,687.2344431488303,87.70428205279698,86.86538234731167
1,2.3054578656905207,-2.6023161986602563,-2.074913791231344,2.8598028133663086e-05,3.6724187528943874e-08,3.301444697495921e-10,500.0632662105708,56.9992615517964,28.040534677239272
1,2.016048982669212,-2.52820001339502,-2.367080785074606,3.466454119444606e-05,6.879712677065688e-08,5.460615337591192e-13,304.4836357062386,72.75382325230491,9.237894653413532
