STATE,FD,FD_EXT,FD_FLX,VMS,VMS_EXT,VMS_FLX,LI,LI_EXT,LI_FLX
1,-2.560058901838315,-1.953987166682893,-1.8937860566769302,3.087321938872854e-08,7.705656925290024e-09,5.3910201665851295e-08,456.84529766953256,74.93316705773695,103.38105526532559
1,-2.653148264064166,-2.4374102338179506,-2.631022887048551,3.4820247555766996e-08,2.2822827096153155e-08,4.681394986054697e-08,1060.3477959946078,154.27008207847805,159.20313022215163
1,-2.5571336536878393,-2.675033926879668,-2.4197030052814306,3.825788036453942e-08,4.082311240309521e-08,3.568691420386986e-08,1183.1388318753852,197.7392562959172,183.80652823603137
1,-2.3996958443664376,-1.9891190159109389,-2.2171098933804494,2.6801253240724733e-08,4.987345464643018e-08,3.6462792936249564e-09,372.14756329617745,62.15719311689443,73.51573058006518
1,-2.4371393740963043,-2.2695724037305283,-2.4015057863887286,2.0992653316229563e-08,3.403806684944008e-08,7.599448083230149e-09,834.6668438457897,134.8423395780029,131.4813538381959
1,-3.0724009451419434,-3.279031133583775,-2.253750927957718,1.1804026411965425e-08,2.3481896815004002e-08,1.4125005655618072e-12,207.94777292096651,72.55934570437967,12.618193421633412
1,-2.665460212679969,-2.6518080083791373,-2.2991009671275027,1.4497422844736346e-07,1.1374464197994258e-08,2.769621944440315e-07,880.08716492778,133.82795781460263,150.49363554407884
1,-2.416884003677559,-2.6116760561738346,-2.239964677427829,2.5094315841893562e-08,2.0941879163771916e-08,2.8915178395059517e-08,1092.6995896608576,161.2111651813188,155.51373672451967
1,-2.3505154014815792,-2.445090866467689,-1.9925956462317558,3.75664381296736e-07,7.339369356171958e-07,1.6002875632516888e-08,523.4269141117056,97.10210053722817,76.90166128080536
1,-2.546022257190911,-2.3041021550806837,-2.244756158779479,3.719997513398836e-08,1.223210748992859e-08,6.164408096581197e-08,866.5589865484551,125.4409457580245,132.43997785747837
