packet_count,acc_x,acc_y,acc_z,a_mag
1,0.013297999999999999,-0.326472,-0.9730719999999999,1.0264647684026957
2,0.028548,-0.321836,-0.979294,1.03121779350242
3,0.023667999999999998,-0.31903,-0.975146,1.026279706727167
4,0.033916,-0.326594,-0.970388,1.0244348717395362
5,0.012444,-0.325496,-0.954406,1.0084608628935483
6,0.026962,-0.326594,-0.927566,0.9837526491125703
7,0.035258,-0.327814,-0.917562,0.9750000866687141
8,0.014029999999999999,-0.325374,-0.914146,0.9704267051622189
9,0.034404,-0.328668,-0.907314,0.9656215532163727
10,0.025498,-0.331718,-0.902434,0.9618077270868642
11,0.032208,-0.325496,-0.906338,0.9635525784948116
12,0.031232,-0.325008,-0.9119499999999999,0.9686374143032056
13,0.031354,-0.323422,-0.9182939999999999,0.9740886683644359
14,0.024766,-0.32513,-0.928298,0.9839004260899575
15,0.019032,-0.31598,-0.933178,0.9854068992593871
16,0.061732,-0.31024599999999997,-0.938912,0.9907669575051441
17,0.019154,-0.311832,-0.93208,0.9830458780443566
18,0.014884,-0.31890799999999997,-0.928908,0.9822392368379508
19,0.030012,-0.3172,-0.91683,0.9706151704171948
20,0.030012,-0.326838,-0.91622,0.9732332129494966
21,0.029402,-0.324276,-0.898896,0.9560509508368266
22,0.02318,-0.331596,-0.899994,0.9594177503319395
23,0.03172,-0.341356,-0.901214,0.9642182071149662
24,0.029036,-0.33855,-0.903654,0.9654272336701507
25,0.029523999999999998,-0.330986,-0.911706,0.9703768490684431
26,0.032085999999999996,-0.331474,-0.917806,0.9763566856984183
27,0.028914,-0.334158,-0.9394,0.9974818035232523
28,0.02379,-0.336598,-0.963922,1.0212785123500836
29,0.019398,-0.328424,-0.96441,1.0189824602415882
30,0.009516,-0.327692,-0.963678,1.0179134977020396
31,0.0037819999999999998,-0.32086,-0.96014,1.01234098145042
32,0.013054,-0.31829799999999997,-0.956846,1.0084831636849472
33,0.021106,-0.32878999999999997,-0.949282,1.0048306538218268
34,0.019764,-0.327692,-0.9429379999999999,0.9984511677613482
35,0.025254,-0.33122999999999997,-0.9347639999999999,0.9920356914506655
36,0.02135,-0.33672,-0.923052,0.9827823643126692
37,0.029523999999999998,-0.334646,-0.905362,0.9656810875936217
38,0.046848,-0.33244999999999997,-0.893894,0.9548634566470747
39,0.03111,-0.34038,-0.923906,0.9851033820548989
40,0.03538,-0.324398,-0.904386,0.9614571461068872
41,0.029768,-0.323422,-0.911218,0.9673707497293889
42,0.039162,-0.328424,-0.916952,0.9747804657070227
43,0.02745,-0.32696,-0.9237839999999999,0.9803230195991522
44,0.030866,-0.317566,-0.934398,0.9873704961745615
45,0.020739999999999998,-0.318054,-0.9353739999999999,0.9881867305281932
46,0.020252,-0.323422,-0.92964,0.9845011240156103
47,0.022692,-0.321226,-0.941596,0.9951402399440995
48,0.022082,-0.330498,-0.936838,0.9936709621257934
49,0.018543999999999998,-0.326594,-0.929396,0.9852839416066822
50,0.02623,-0.330498,-0.925736,0.9833128101474119
51,0.027938,-0.330376,-0.911828,0.9702366385598927
52,0.03111,-0.336476,-0.919636,0.9797521641578548
53,0.03233,-0.326838,-0.910242,0.9676821821796658
54,0.034282,-0.33244999999999997,-0.91988,0.9787121499317356
55,0.032695999999999996,-0.34282,-0.930738,0.9924050611821768
56,0.029036,-0.325252,-0.948062,1.0027230468299808
57,0.024156,-0.334402,-0.944524,1.0022643346522913
58,0.011101999999999999,-0.329278,-0.946842,1.0025253256910769
59,0.023302,-0.322934,-0.9545279999999999,1.007944965930184
60,0.02501,-0.319884,-0.959774,1.0119868599107402
61,0.032085999999999996,-0.31903,-0.958676,1.0108755241235194
62,0.024034,-0.32817999999999997,-0.943792,0.999511423056285
63,0.029036,-0.325008,-0.928298,0.9839768626161898
64,0.026474,-0.329034,-0.918538,0.9760513835224045
65,0.023912,-0.329888,-0.91561,0.9735191566620557
66,0.027206,-0.334036,-0.910974,0.9706667009885525
67,0.035013999999999997,-0.329278,-0.908046,0.966538938478942
68,0.028059999999999998,-0.334646,-0.899628,0.9602634259930969
69,0.029646,-0.327936,-0.899506,0.9578788803643183
70,0.043798,-0.334646,-0.911828,0.9722841722994363
71,0.035013999999999997,-0.31890799999999997,-0.910242,0.9651263084301454
72,0.023424,-0.320982,-0.916098,0.97098592868486
73,0.02196,-0.325008,-0.942206,0.9969275741496972
74,0.009637999999999999,-0.324154,-0.939644,0.9940319680452938
75,0.017202,-0.325374,-0.938546,0.9934952152859117
76,0.021228,-0.322812,-0.936716,0.9910071039018843
77,0.029158,-0.328424,-0.933056,0.9895989146497687
78,0.030134,-0.324032,-0.9329339999999999,0.9880640886784621
79,0.026474,-0.325008,-0.9280539999999999,0.9836743870082213
80,0.029646,-0.323056,-0.93513,0.9898041126162287
81,0.022326,-0.334158,-0.923906,0.9827320672879256
82,0.023912,-0.336354,-0.915,0.9751568063957714
83,0.017568,-0.331596,-0.92781,0.9854420013070277
84,0.027084,-0.331596,-0.932568,0.99013762926979
85,0.027938,-0.334036,-0.936228,0.9944261908879914
86,0.025131999999999998,-0.322934,-0.936838,0.9912534610401115
87,0.02867,-0.320372,-0.93635,0.990056316470937
88,0.023424,-0.324032,-0.9459879999999999,1.0002193344182064
89,0.026718,-0.322934,-0.939644,0.9939472152061195
90,0.02562,-0.318542,-0.942206,0.9949258950293736
91,0.023302,-0.32574,-0.945256,1.0000792150324893
92,0.026595999999999998,-0.324764,-0.93757,0.9925807311307226
93,0.018178,-0.325496,-0.92659,0.9822663151101131
94,0.023424,-0.32635,-0.920978,0.977370698742294
95,0.02135,-0.327326,-0.911584,0.9688052032436655
96,0.030012,-0.323422,-0.913536,0.9695620318081767
97,0.03294,-0.329278,-0.914146,0.9721995444351947
98,0.028182,-0.34221,-0.91866,0.9807334524854345
99,0.029036,-0.327692,-0.924516,0.9813026905170493
100,0.028791999999999998,-0.33244999999999997,-0.928176,0.9863380093760962
101,0.016104,-0.3233,-0.933178,0.9877263834179989
102,0.020618,-0.322324,-0.929518,0.9840333201797589
103,0.02928,-0.319884,-0.9353739999999999,0.9889932313883648
104,0.025863999999999998,-0.320616,-0.944646,0.997907626620821
105,0.022082,-0.32147,-0.940376,0.9940511038171026
106,0.020496,-0.324276,-0.927688,0.9829445739898054
107,0.022203999999999998,-0.32391,-0.926102,0.9813641628467996
108,0.027938,-0.3233,-0.924272,0.9795826416530664
109,0.022448,-0.335866,-0.924028,0.9834315570714618
110,0.030378,-0.335134,-0.926468,0.9856878693907113
111,0.02928,-0.327936,-0.92415,0.9810466660643621
112,0.016958,-0.329156,-0.92598,0.9828887050424376
113,0.028304,-0.33061999999999997,-0.9243939999999999,0.9821481395655137
114,0.031598,-0.32195799999999997,-0.925492,0.9804034013772086
115,0.024522,-0.326472,-0.93086,0.9867551037962763
116,0.02135,-0.325496,-0.933666,0.9890074155798834
